"행정구역별(시군구)",2019,2020,2021,2022,2023
"행정구역별(시군구)",다문화_가구_계,다문화_가구_계,다문화_가구_계,다문화_가구_계,다문화_가구_계
"서울특별시",69738,69790,71337,72949,74514
"종로구",1115,1135,1160,1178,1208
"중구",1282,1282,1311,1327,1365
"용산구",2070,2109,2148,2259,2256
"성동구",2162,2146,2140,2156,2120
"광진구",2761,2728,2715,2703,2745
"동대문구",2402,2418,2437,2495,2562
"중랑구",2451,2513,2576,2620,2687
"성북구",2154,2256,2293,2376,2428
"강북구",1947,2014,2022,2062,2117
"도봉구",1502,1569,1602,1646,1683
"노원구",1833,1926,1987,2071,2125
"은평구",2677,2794,2850,2933,3020
"서대문구",1753,1827,1907,2014,2134
"마포구",2064,2139,2224,2342,2375
"양천구",2499,2500,2564,2619,2681
"강서구",3704,3766,3863,3924,3976
"구로구",7697,7482,7676,7798,7935
"금천구",4748,4554,4670,4704,4819
"영등포구",6961,6486,6569,6520,6545
"동작구",2534,2484,2522,2581,2618
"관악구",4571,4399,4436,4466,4526
"서초구",1724,1832,1902,2005,2112
"강남구",2004,2103,2169,2384,2543
"송파구",2961,3047,3129,3235,3288
"강동구",2162,2281,2465,2531,2646
"중구",247,257,278,277,275
"서구",472,500,516,531,561
"동구",529,548,576,603,644
"영도구",615,621,650,649,663
"부산진구",1347,1455,1481,1535,1595
"동래구",719,784,804,823,833
"남구",999,1050,1078,1090,1132
"북구",1165,1191,1233,1289,1303
"해운대구",1510,1584,1641,1677,1718
"사하구",1689,1741,1822,1871,1926
"금정구",864,923,935,963,986
"강서구",644,702,750,755,773
"연제구",603,672,651,683,726
"수영구",717,727,774,815,838
"사상구",1507,1567,1611,1667,1733
"기장군",786,836,911,974,1026
"중구",268,271,272,293,334
"동구",1423,1478,1511,1591,1645
"서구",1188,1236,1290,1335,1386
"남구",573,617,661,678,679
"북구",1710,1838,1931,2040,2098
"수성구",904,962,989,1057,1087
"달서구",2612,2750,2844,2866,2930
"달성군",1654,1767,1890,2008,2121
"군위군",-,-,-,-,173
"중구",1340,1479,1602,1784,1944
"동구",472,503,524,522,594
"연수구",2060,2314,2497,2534,2785
"남동구",4150,4339,4601,4781,4883
"부평구",6003,6147,6500,6911,7234
"계양구",1947,2066,2123,2191,2239
"서구",4135,4396,4746,5187,5760
"미추홀구",3503,3724,3983,4237,4431
"강화군",370,388,403,418,434
"옹진군",104,93,96,92,102
"광주광역시",7347,7742,8095,8455,8700
"동구",317,348,376,400,454
"서구",1038,1103,1120,1157,1196
"남구",826,868,900,942,959
"북구",2083,2152,2207,2258,2341
"광산구",3083,3271,3492,3698,3750
"대전광역시",6942,7407,7738,7957,8366
"동구",1340,1410,1511,1536,1649
"중구",1153,1234,1285,1252,1337
"서구",1817,1966,2037,2161,2200
"유성구",1411,1539,1596,1685,1804
"대덕구",1221,1258,1309,1323,1376
"중구",1268,1298,1308,1318,1306
"남구",1614,1648,1663,1683,1720
"동구",1103,1118,1172,1198,1237
"북구",1230,1308,1353,1378,1449
"울주군",1652,1707,1772,1825,1913
"세종시",1535,1656,1781,1908,1991
"수원시",9482,9520,9934,10332,10799
"성남시",5866,5877,5912,6120,6282
"의정부시",2433,2671,2850,2936,3060
"안양시",2885,2876,2981,3130,3222
"부천시",9057,9570,10267,10611,11094
"광명시",2402,2152,2065,2019,1885
"평택시",5539,6068,6771,7179,7655
"동두천시",1002,1023,1048,1087,1125
"안산시",11284,11392,11971,12136,12398
"고양시",5360,5776,6116,6422,6717
"과천시",157,166,195,237,258
"구리시",926,935,952,979,1013
"남양주시",3491,3750,4020,4191,4337
"오산시",2939,3130,3333,3432,3621
"시흥시",7873,8142,8779,9216,9751
"군포시",2290,2318,2385,2447,2501
"의왕시",633,666,678,683,711
"하남시",1265,1417,1598,1669,1725
"용인시",5018,5312,5627,5951,6126
"파주시",3172,3394,3660,3944,4184
"이천시",1509,1582,1753,1809,1908
"안성시",1840,1953,2101,2226,2305
"김포시",3630,4077,4466,4738,4957
"화성시",6661,7254,7832,8289,8944
"광주시",3010,3212,3458,3598,3736
"양주시",1786,1923,2058,2178,2480
"포천시",1748,1800,1898,1983,2036
"여주시",810,860,923,962,1016
"연천군",316,324,334,354,373
"가평군",692,717,751,772,818
"양평군",703,735,762,828,877
"춘천시",1313,1410,1499,1590,1657
"원주시",1749,1895,2008,2131,2227
"강릉시",914,1017,1086,1100,1187
"동해시",406,414,443,479,509
"태백시",225,237,245,256,271
"속초시",423,440,494,516,552
"삼척시",374,400,408,408,437
"홍천군",520,531,544,577,610
"횡성군",410,436,456,486,518
"영월군",256,261,269,270,294
"평창군",307,309,327,344,356
"정선군",307,319,328,350,353
"철원군",299,305,304,300,332
"화천군",170,179,178,182,188
"양구군",199,195,195,199,214
"인제군",196,211,230,245,247
"고성군",189,185,191,208,227
"양양군",174,190,197,200,218
"충주시",1450,1565,1700,1746,1831
"제천시",898,957,986,1012,1056
"청주시",4371,4650,4903,5163,5544
"보은군",360,374,379,393,406
"옥천군",500,522,526,532,568
"영동군",414,429,442,450,461
"진천군",1070,1134,1257,1326,1362
"괴산군",319,330,328,342,348
"음성군",1330,1377,1442,1521,1594
"단양군",232,234,242,235,243
"증평군",398,430,431,474,483
"천안시",4690,5002,5342,5687,5993
"공주시",935,961,986,1030,1055
"보령시",769,803,853,870,914
"아산시",3227,3338,3597,3884,4253
"서산시",1417,1462,1588,1669,1757
"논산시",1122,1162,1222,1233,1277
"계룡시",135,152,159,177,194
"당진시",1608,1705,1816,1929,2079
"금산군",582,614,642,665,686
"부여군",609,614,611,622,656
"서천군",385,390,392,407,426
"청양군",320,333,345,347,355
"홍성군",753,796,828,836,870
"예산군",712,730,781,803,871
"태안군",424,452,486,499,510
"전주시",2792,3054,3204,3333,3497
"완산구",1356,1476,1555,1618,1706
"덕진구",1436,1578,1649,1715,1791
"군산시",1885,1987,2095,2176,2247
"익산시",2045,2155,2180,2238,2362
"정읍시",983,1060,1114,1137,1171
"남원시",754,789,795,811,845
"김제시",769,778,808,826,871
"완주군",831,852,892,922,1010
"진안군",310,299,316,315,323
"무주군",239,251,244,257,259
"장수군",272,277,282,288,288
"임실군",307,308,314,314,330
"순창군",335,341,343,347,354
"고창군",542,570,568,583,603
"부안군",490,486,506,509,533
"목포시",1374,1427,1478,1504,1588
"여수시",1591,1701,1748,1800,1868
"순천시",1410,1485,1558,1569,1662
"나주시",974,1014,1113,1161,1202
"광양시",1094,1141,1218,1254,1312
"담양군",400,420,442,437,452
"곡성군",287,289,290,295,307
"구례군",245,255,254,255,259
"고흥군",574,583,613,621,636
"보성군",364,367,378,379,397
"화순군",583,592,611,631,667
"장흥군",364,367,386,393,407
"강진군",333,326,331,333,329
"해남군",682,716,752,761,794
"영암군",787,833,912,975,1053
"무안군",609,657,660,686,709
"함평군",326,334,341,346,347
"영광군",464,479,513,531,546
"장성군",478,483,510,529,532
"완도군",459,469,480,481,504
"진도군",344,362,382,377,387
"신안군",327,326,337,348,367
"포항시",2253,2337,2460,2537,2617
"경주시",1931,2023,2128,2194,2241
"김천시",871,931,975,1008,1023
"안동시",887,944,983,1024,1104
"구미시",2141,2270,2364,2466,2575
"영주시",636,678,682,717,769
"영천시",781,830,878,912,929
"상주시",777,790,810,859,925
"문경시",516,553,571,575,599
"경산시",1527,1647,1803,1894,2022
"군위군",177,175,179,177,-
"의성군",373,383,381,389,419
"청송군",222,229,228,231,229
"영양군",180,191,199,198,196
"영덕군",288,278,282,290,284
"청도군",274,293,315,307,313
"고령군",287,278,285,292,312
"성주군",350,358,369,362,385
"칠곡군",932,960,1045,1113,1165
"예천군",446,479,481,500,509
"봉화군",278,297,304,307,314
"울진군",279,288,305,310,321
"울릉군",29,29,31,29,33
"진주시",1853,1958,2082,2147,2227
"통영시",952,972,979,991,1005
"사천시",738,766,806,827,858
"김해시",3683,3937,4090,4233,4429
"밀양시",729,753,773,820,871
"거제시",1808,1873,1889,1882,1894
"양산시",2154,2268,2424,2519,2619
"창원시",5429,5623,5881,5981,6136
"의령군",232,230,239,239,247
"함안군",622,648,670,679,690
"창녕군",528,548,581,596,601
"고성군",424,428,433,460,476
"남해군",287,281,277,295,302
"하동군",354,355,361,353,362
"산청군",264,269,282,282,284
"함양군",362,371,374,378,383
"거창군",429,437,435,462,491
"합천군",327,327,330,332,353
"제주시",3616,3848,4061,4193,4324
"서귀포시",1456,1567,1669,1765,1840
